Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
acc-cap2p5-ccmc,CCM 2.5MM2 PVC CABLE (BLUE),Title,Default Title,,,,,+ACC CAP2P5.CCMC,,,,,,,,,,0
acc-cap2p5-ccme,CCM 2.5MM2 PVC CABLE (GREEN/YELLOW),Title,Default Title,,,,,+ACC CAP2P5.CCME,,,,,,,,,,0
acc-cap2p5-ccmk,CCM 2.5MM2 PVC CABLE (BROWN),Title,Default Title,,,,,+ACC CAP2P5.CCMK,,,,,,,,,,0
acc-ceiling-rose,CEILING ROSE WHITE,Title,Default Title,,,,,+ACC CEILING ROSE,,,,,,,,,,0
acc-chain-a-b,ANTIQUE BRASS CHAIN (METRE) - NW,Title,Default Title,,,,,+ACC CHAIN A/B,,,,,,,,,,0
acc-chain-ab-3x48,ANTIQUE BRASS CHAIN 3x48mm (Metre) - NW,Title,Default Title,,,,,+ACC CHAIN AB 3x48,,,,,,,,,,0
acc-chain-ab-4x45,ANTIQUE BRASS CHAIN 4x45mm (Metre),Title,Default Title,,,,,+ACC CHAIN AB 4x45,,,,,,,,,,18
acc-chain-ab-4x50,ANTIQUE BRASS CHAIN 4x50mm (Metre) - NW,Title,Default Title,,,,,+ACC CHAIN AB 4x50,,,,,,,,,,0
acc-chain-ab-5x45,ANTIQUE BRASS CHAIN 5x45mm (Metre),Title,Default Title,,,,,+ACC CHAIN AB 5x45,,,,,,,,,,118
acc-chain-ab-5x50,ANTIQUE BRASS CHAIN 4x50mm (Metre),Title,Default Title,,,,,+ACC CHAIN AB 5x50,,,,,,,,,,0
acc-chain-bk,BLACK CHAIN (4040/5) METER-A32,Title,Default Title,,,,,+ACC CHAIN BK,,,,,,,,,,0
acc-chain-bk-4x45,BLACK CHAIN 4x45mm (Metre),Title,Default Title,,,,,+ACC CHAIN BK 4x45,,,,,,,,,,27
acc-chain-bk-4x50,BLACK CHAIN 4x50mm (Metre),Title,Default Title,,,,,+ACC CHAIN BK 4x50,,,,,,,,,,8
acc-chain-bk-5x50,BLACK CHAIN 5x50mm (Metre),Title,Default Title,,,,,+ACC CHAIN BK 5x50,,,,,,,,,,0
