Handle,Title,Description,Vendor,Status,Published on online store,SKU,Option1 Name,Option1 Value,Option2 Value,Option3 Value,Price,Cost per item,Inventory tracker,Inventory quantity,Continue selling when out of stock,Requires shipping,Fulfillment service,Tags,RLF inventory (product.metafields.custom.rlf_inventory),IMM inventory (product.metafields.custom.imm_inventory),Wholesale price (product.metafields.custom.wholesale_price),Legacy WHSE (product.metafields.custom.legacy_whse)
acc-cap1p5-ccmk,CCM 1.5MM2 PVC CABLE (BROWN),,CHOOCHIANG,draft,false,+ACC CAP1P5.CCMK,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-zero-retail",64,0,0,0
acc-cap2p5-ccmc,CCM 2.5MM2 PVC CABLE (BLUE),,CHOOCHIANG,draft,false,+ACC CAP2P5.CCMC,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-zero-retail",50,0,0,0
acc-cap2p5-ccme,CCM 2.5MM2 PVC CABLE (GREEN/YELLOW),,CHOOCHIANG,draft,false,+ACC CAP2P5.CCME,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-zero-retail",49,0,0,0
acc-cap2p5-ccmk,CCM 2.5MM2 PVC CABLE (BROWN),,CHOOCHIANG,draft,false,+ACC CAP2P5.CCMK,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-zero-retail",47,0,0,0
acc-ceiling-rose,CEILING ROSE WHITE,,,active,true,+ACC CEILING ROSE,Default Title,Default Title,,,5,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
acc-chain-a-b,ANTIQUE BRASS CHAIN (METRE) - NW,,,draft,false,+ACC CHAIN A/B,Default Title,Default Title,,,15,3,shopify,0,deny,true,manual,"legacy-import, legacy-negative-whse",0,0,8,-4
acc-chain-ab-3x48,ANTIQUE BRASS CHAIN 3x48mm (Metre) - NW,,,draft,false,+ACC CHAIN AB 3x48,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
acc-chain-ab-4x45,ANTIQUE BRASS CHAIN 4x45mm (Metre),,,draft,false,+ACC CHAIN AB 4x45,Default Title,Default Title,,,0,0,shopify,18,deny,true,manual,"legacy-import, legacy-zero-retail",-3.2,0,0,18
acc-chain-ab-4x50,ANTIQUE BRASS CHAIN 4x50mm (Metre) - NW,,,draft,false,+ACC CHAIN AB 4x50,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
acc-chain-ab-5x45,ANTIQUE BRASS CHAIN 5x45mm (Metre),,,draft,false,+ACC CHAIN AB 5x45,Default Title,Default Title,,,0,0,shopify,118,deny,true,manual,"legacy-import, legacy-zero-retail",1,0,0,118
acc-chain-ab-5x50,ANTIQUE BRASS CHAIN 4x50mm (Metre),,,draft,false,+ACC CHAIN AB 5x50,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
acc-chain-bk,BLACK CHAIN (4040/5) METER-A32,,,draft,false,+ACC CHAIN BK,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-zero-retail, legacy-negative-whse",-1,0,0,-26
acc-chain-bk-4x45,BLACK CHAIN 4x45mm (Metre),,,draft,false,+ACC CHAIN BK 4x45,Default Title,Default Title,,,0,0,shopify,27,deny,true,manual,"legacy-import, legacy-zero-retail",0,0,0,27
acc-chain-bk-4x50,BLACK CHAIN 4x50mm (Metre),,,draft,false,+ACC CHAIN BK 4x50,Default Title,Default Title,,,0,0,shopify,8,deny,true,manual,"legacy-import, legacy-zero-retail, legacy-fractional-whse",0,0,0,8.3
acc-chain-bk-5x50,BLACK CHAIN 5x50mm (Metre),,,draft,false,+ACC CHAIN BK 5x50,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
acc-chain-ch-2x40,CHROME CHAIN 2x40mm (Metre),,,draft,false,+ACC CHAIN CH 2x40,Default Title,Default Title,,,0,0,shopify,15,deny,true,manual,"legacy-import, legacy-zero-retail",0,0,0,15
acc-chain-ch-3x40,CHROME CHAIN 3x40mm (Metre),,,draft,false,+ACC CHAIN CH 3x40,Default Title,Default Title,,,0,0,shopify,4,deny,true,manual,"legacy-import, legacy-zero-retail",0,0,0,4
acc-chain-ch-3x48,CHROME CHAIN 3x48mm (Metre) - NW,,,draft,false,+ACC CHAIN CH 3x48,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
acc-chain-ch-4x40,CHROME CHAIN 4x40mm (Metre),,,draft,false,+ACC CHAIN CH 4x40,Default Title,Default Title,,,0,0,shopify,25,deny,true,manual,"legacy-import, legacy-zero-retail",0,0,0,25
acc-chain-ch-4x50,CHROME CHAIN 4x50mm (Metre) - NW,,,draft,false,+ACC CHAIN CH 4x50,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
