Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
sw-u201spm-dp-b-00-s,U201SPM-DP-B00-S 1G 20A DOUBLE POLE SWITCH,Default Title,Default Title,,,,,+SW U201SPM-DP-B 00-S,,,123 William Street,,,,,,,0
sw-u202dsf10a-0-01,"2 GANG, 2X5A FLUORESCENT DIMMER, 100/240V, 50/60HZ,",Default Title,Default Title,,,,,+SW U202DSF10A_0 01,,,123 William Street,,,,,,,0
sw-u202dst600-001,2G 2X300W DIMMER MODULE 434 Mhz - ULTI,Default Title,Default Title,,,,,+SW U202DST600-001,,,123 William Street,,,,,,,0
sw-u202dst600-xb-s1,2G 2X300W DIMMER MODULE-434MHz-BRUSHED SILVER,Default Title,Default Title,,,,,+SW U202DST600-XB S1,,,123 William Street,,,,,,,0
sw-u202spm-2-b00-s,U202SPM/2-B00-S 2G MECHANICAL SWITCH 2W,Default Title,Default Title,,,,,+SW U202SPM/2-B00 -S,,,123 William Street,,,,,,,0
sw-u204spm-2-b00-s,U204SPM/2-B00-S 4G MECHANICAL SWITCH 2W,Default Title,Default Title,,,,,+SW U204SPM/2-B00 -S,,,123 William Street,,,,,,,0
sw-u204spm-2-boo,4G MECHANICAL SWITCH 2W MODULE - ULTI,Default Title,Default Title,,,,,+SW U204SPM/2-BOO,,,123 William Street,,,,,,,0
sw-uae8-8upok6,"UAE8-8UPOK6 DOUBLE MOD.JACK SOCKET INSERT,",Default Title,Default Title,,,,,+SW UAE8-8UPOK6,,,123 William Street,,,,,,,0
sw-uae8upok6,"UAE8UPOK6 MOD.JACK SOCKET INSERT, CAT.6 (JUNG)",Default Title,Default Title,,,,,+SW UAE8UPOK6,,,123 William Street,,,,,,,0
sw-uc15-301-cl,"UC15-301-CL 13A 1G Switch Socket Cover,Silver Mirror",Default Title,Default Title,,,,,+SW UC15-301-CL,,,123 William Street,,,,,,,0
sw-uc15-xgl-se,"13A 1G SWITCH SOCKET COVER, CRYSTAL GLASS",Default Title,Default Title,,,,,+SW UC15-XGL-SE,,,123 William Street,,,,,,,1
sw-uc21dm-301-cl,"UC21DM-301-CL 1G Dimmer Cover, Silver Mirror",Default Title,Default Title,,,,,+SW UC21DM-301-CL,,,123 William Street,,,,,,,0
sw-uc21dm-xbs-cl,"1G DIMMER COVER, BRUSHED SILVER",Default Title,Default Title,,,,,+SW UC21DM-XBS-CL,,,123 William Street,,,,,,,0
sw-uc21dm-xpw-se,"1G DIMMER COVER, PEARL WHITE - ULTI",Default Title,Default Title,,,,,+SW UC21DM-XPW-SE,,,123 William Street,,,,,,,0
sw-uc21dp-p-xgl-cl,"UC21DP/P-XGL-CL DP SWITCH COVER, CRYSTAL GLASS - ULTI",Default Title,Default Title,,,,,+SW UC21DP/P-XGL-CL,,,123 William Street,,,,,,,0
sw-uc21sw-p-xgl-cl,UC21SW/P_XGL_CL 1G MECHANICAL SWITCH NON-RF,Default Title,Default Title,,,,,+SW UC21SW/P_XGL _CL,,,123 William Street,,,,,,,0
sw-uc21sw-p-301-cl,"UC21SW/P-301-CL 1G Impress Cover Plate, Silver Mirror",Default Title,Default Title,,,,,+SW UC21SW/P-301-CL,,,123 William Street,,,,,,,0
sw-uc21sw-p-xbs,1G MECH SW NON-RF COVER -BRUSH SILVER,Default Title,Default Title,,,,,+SW UC21SW/P-XBS,,,123 William Street,,,,,,,0
sw-uc21sw-p-xbs-cl,"UC21SW/P-XBS-CL 1G MECHANICAL SWITCH NON, RF",Default Title,Default Title,,,,,+SW UC21SW/P-XBS -CL,,,123 William Street,,,,,,,0
sw-uc21sw-p-xgl-cl-2,UC21SW/P-XGL-CL 1G MECHANICAL SWITCH NON-RF,Default Title,Default Title,,,,,+SW UC21SW/P-XGL-CL,,,123 William Street,,,,,,,0
sw-uc22dm-xbs-cl,"2G DIMMER COVER, BRUSHED SILVER",Default Title,Default Title,,,,,+SW UC22DM-XBS-CL,,,123 William Street,,,,,,,0
sw-uc22dm-xgl,UC22DM_XGL 2G DIMMER COVER CRYSTAL GLASS - ULTI,Default Title,Default Title,,,,,+SW UC22DM-XGL,,,123 William Street,,,,,,,0
sw-uc22dm-xpw-se,"2G DIMMER COVER, PEARL WHITE - ULTI",Default Title,Default Title,,,,,+SW UC22DM-XPW-SE,,,123 William Street,,,,,,,0
sw-uc22sw-p-301-cl,"UC22SW/P-301-CL 2G Impress Cover Plate, Silver Mirror",Default Title,Default Title,,,,,+SW UC22SW/P-301-CL,,,123 William Street,,,,,,,0
sw-uc22sw-p-xgl-cl,UC22SW/P-XGL-CL 2G MECHANICAL SWITCH NON-RF,Default Title,Default Title,,,,,+SW UC22SW/P-XGL-CL,,,123 William Street,,,,,,,0
sw-uc22sw-p-xpw-se,"2G MECHANICAL SWITCH NON, RF COVER, PEARL WHITE -",Default Title,Default Title,,,,,+SW UC22SW/P-XPW -SE,,,123 William Street,,,,,,,0
sw-uc24sw-p-301-cl,"UC24SW/P-301-CL 4G Impress Cover Plate, Silver Mirror",Default Title,Default Title,,,,,+SW UC24SW/P-301-CL,,,123 William Street,,,,,,,0
sw-uc24sw-p-xgl-cl,"4G MECHANICAL SWITCH NON, RF COVER, CRYSTAL GLASS -",Default Title,Default Title,,,,,+SW UC24SW/P-XGL-CL,,,123 William Street,,,,,,,0
sw-uc24w-p-xbs-cl,"+SW UC24SW/P-XBS-CL 4G MECHANICAL SWITCH NON, RF",Default Title,Default Title,,,,,+SW UC24W/P-XBS-CL,,,123 William Street,,,,,,,0
sw-uc31bp-xgl,"+SW UC31BP_XGL 1 GANG BELL PRESS PLATE, CRYSTAL",Default Title,Default Title,,,,,+SW UC31BP_XGL,,,123 William Street,,,,,,,0
sw-uct25-xbs,"UCT25-XBS-CL 13A 2G SWITCH SOCKET COVER, BRUSHED",Default Title,Default Title,,,,,+SW UCT25_XBS,,,123 William Street,,,,,,,0
sw-uct25-301-cl,"UCT25-301-CL 13A 2G Switch Socket Cover,Silver Mirror",Default Title,Default Title,,,,,+SW UCT25-301-CL,,,123 William Street,,,,,,,0
sw-uct25-xgl-se,"13A 2G SWITCH SOCKET COVER, CRYSTAL GLASS",Default Title,Default Title,,,,,+SW UCT25-XGL-SE,,,123 William Street,,,,,,,0
sw-uct25-xpw-se,"13A 2G SWITCH SOCKET COVER, PEARL WHITE - ULTI",Default Title,Default Title,,,,,+SW UCT25-XPW-SE,,,123 William Street,,,,,,,0
sw-us15-b00-s,"13A 1G SWITCH SOCKET BASE, BLUE LED - ULTI",Default Title,Default Title,,,,,+SW US15-B00-S,,,123 William Street,,,,,,,0
sw-us31bp-b00,+SW US31BP_B00 1 GANG BELL PRESS PLATE - ULTI,Default Title,Default Title,,,,,+SW US31BP_B00,,,123 William Street,,,,,,,0
sw-usb15caww,USB15CAWW USB CHARGER TYPE A + TYPE C INSERT,Default Title,Default Title,,,,,+SW USB15CAWW,,,123 William Street,,,,,,,0
sw-ust25-b00-s,"13A 2G SWITCH SOCKET BASE, BLUE LED - ULTI",Default Title,Default Title,,,,,+SW UST25-B00-S,,,123 William Street,,,,,,,0
sw-vba-rcs4-bk,VLINCA VBA-RCS4 BLACK KNOB REMOTE CONTROLLER,Default Title,Default Title,,,,,+SW VBA-RCS4 BK,,,123 William Street,,,,,,,8
sw-vba-rcs8-bk,VLINCA VBA-RCS8 BLACK 8KEY REMOTE CONTROLLER FOR,Default Title,Default Title,,,,,+SW VBA-RCS8 BK,,,123 William Street,,,,,,,8
sw-vbu-ds-idp-w,VLINCA VBU-DS-IDP-W CASAMBI TO DALI CONTROL,Default Title,Default Title,,,,,+SW VBU-DS-IDP-W,,,123 William Street,,,,,,,4
sw-vbu-pwm5-idp,VLINCA VBU-PWM5-IDP CASAMBI ENABLED 5CH PWM,Default Title,Default Title,,,,,+SW VBU-PWM5-IDP,,,123 William Street,,,,,,,7
sw-vbu-r1-bi,VLINCA VBU-R1-BI 1 CHANNEL BLUETOOTH RELAY,Default Title,Default Title,,,,,+SW VBU-R1-BI,,,123 William Street,,,,,,,0
sw-vbu-t1-idp,VLINCA VBU-T1-IDP CASAMBI TO PHASE-CUT CONTROL,Default Title,Default Title,,,,,+SW VBU-T1-IDP,,,123 William Street,,,,,,,20
sw-w1523whisg-mk,W1523WHISG 1G 2WLED 100W DIMMER - MK,Default Title,Default Title,,,,,+SW W1523WHISG-MK,,,123 William Street,,,,,,,0
sw-walldim107,WALLDIM107 EUCHIPS 200~240V Triac Dimmer Switch,Default Title,Default Title,,,,,+SW WALLDIM107,,,123 William Street,,,,,,,0
sw-whc5918,WHC5918 WISER ROUTER (FOR C-BUS SYSTEM),Default Title,Default Title,,,,,+SW WHC5918,,,123 William Street,,,,,,,0
sw-wp56c313,56C313 13A 1G 3 Pin Switched Socket Outlet IP66,Default Title,Default Title,,,,,+SW WP56C313,,,123 William Street,,,,,,,0
sw-wxpps22,HAGER WXPPS22 IP66 10A 2G 2W W/P SWITCH IP66,Default Title,Default Title,,,,,+SW WXPPS22,,,123 William Street,,,,,,,2
sw-wxpss81,HAGER WXPSS81 13A W/P S/S/O IP66,Default Title,Default Title,,,,,+SW WXPSS81,,,123 William Street,,,,,,,2
sw-wxpss82,HAGER WXPSS82 2x13A W/P S/S/O IP66,Default Title,Default Title,,,,,+SW WXPSS82,,,123 William Street,,,,,,,2
sw-xmd-142-recei-ver,XMD-142 IR REMOTE RECEIVER (Please use A79 XMD-,Default Title,Default Title,,,,,+SW XMD-142 RECEI VER,,,123 William Street,,,,,,,0
sw-xp-09-ap-r-c,XP-09-AP REMOTE CONTROL FOR G86-X4 (GEAGOOD),Default Title,Default Title,,,,,+SW XP-09-AP R/C,,,123 William Street,,,,,,,0
sw-xp-09-ap-r-t,G86-X4 REMOTE TERMINAL (GEAGOOD),Default Title,Default Title,,,,,+SW XP-09-AP R/T,,,123 William Street,,,,,,,0
sw-y2-2,Y2-2 ON/OFF SWITCH (2 LIGHT) c/w OUTER KEY CHAIN & IN,Default Title,Default Title,,,,,+SW Y2-2,,,123 William Street,,,,,,,0
12w-t4-d-l,12W T4 D/L,Default Title,Default Title,,,,,12W T4 D/L,,,123 William Street,,,,,,,30
12w-t4-w-w,12W T4 W/W,Default Title,Default Title,,,,,12W T4 W/W,,,123 William Street,,,,,,,30
2x2-louvre-2t,2 X 2 (2 TUBE) MIRROR LOUVRE - LC,Default Title,Default Title,,,,,2X2 LOUVRE (2T),,,123 William Street,,,,,,,0
2x2-louvre-4t,2 X 2 (4 TUBE) MIRROR LOUVRE - LC,Default Title,Default Title,,,,,2X2 LOUVRE (4T),,,123 William Street,,,,,,,0
2x4-clean-2t,2 X 4 (2 TUBE) CLEAN RM C/W GEAR & K12 DIFFUSER - LC,Default Title,Default Title,,,,,2X4 CLEAN (2T),,,123 William Street,,,,,,,0
2x4-clean-4t,2 X 4 (4 TUBE) CLEAN RM C/W GEAR & K12 DIFFUSER - LC,Default Title,Default Title,,,,,2X4 CLEAN (4T),,,123 William Street,,,,,,,0
2x4-clean-4t-p,"2 X 4 (4 TUBE) CLEAN RM C/W POWER PACK, GEAR & K12",Default Title,Default Title,,,,,2X4 CLEAN(4T) P,,,123 William Street,,,,,,,0
2x4-louvre-2t,2 X 4 (2 TUBE) MIRROR LOUVRE - LC,Default Title,Default Title,,,,,2X4 LOUVRE (2T),,,123 William Street,,,,,,,0
2x4-louvre-4t,2 X 4 (4 TUBE) MIRROR LOUVRE - LC,Default Title,Default Title,,,,,2X4 LOUVRE (4T),,,123 William Street,,,,,,,0
502,502(SMALL RIBBON),Default Title,Default Title,,,,,502,,,123 William Street,,,,,,,0
509-0-9,509/0.9mm (OVAL RING),Default Title,Default Title,,,,,509/0.9,,,123 William Street,,,,,,,0
515,515(SMALL RIBBON),Default Title,Default Title,,,,,515,,,123 William Street,,,,,,,0
516,516(BIG RIBBON),Default Title,Default Title,,,,,516,,,123 William Street,,,,,,,0
5ft-w-w,5FT (58W) W/W,Default Title,Default Title,,,,,5FT W/W,,,123 William Street,,,,,,,0
6126-bk,FORMLITE ILMAS MEDI-SPOT BK (PAR30),Default Title,Default Title,,,,,6126 BK,,,123 William Street,,,,,,,0
8016-12,8016-12MM STRASS CRYSTAL,Default Title,Default Title,,,,,8016-12,,,123 William Street,,,,,,,0
8016-14,8016-14MM STASS CRYSTAL,Default Title,Default Title,,,,,8016-14,,,123 William Street,,,,,,,0
8016-16,8016-16MM STRASS CRYSTAL,Default Title,Default Title,,,,,8016-16,,,123 William Street,,,,,,,0
8016-18,8016-18MM STRASS CRYSTAL,Default Title,Default Title,,,,,8016-18,,,123 William Street,,,,,,,0
8016-20,8016-20MM STRASS CRYSTAL,Default Title,Default Title,,,,,8016-20,,,123 William Street,,,,,,,0
8016-30,8016-30MM STRASS CRYSTAL,Default Title,Default Title,,,,,8016-30,,,123 William Street,,,,,,,0
8016-40,8016-40MM STRASS CRYSTAL,Default Title,Default Title,,,,,8016-40,,,123 William Street,,,,,,,0
8290-crystal-sp,8290 CRYSTAL SPECTRA,Default Title,Default Title,,,,,8290 CRYSTAL SP,,,123 William Street,,,,,,,0
8550-20,8550-20MM STRASS CRYSTAL CRYSTAL,Default Title,Default Title,,,,,8550-20,,,123 William Street,,,,,,,0
8550-40,8550-40MM STRASS CRYSTAL,Default Title,Default Title,,,,,8550-40,,,123 William Street,,,,,,,0
a1-cl-8216-32d,A1 CL8216/32D,Default Title,Default Title,,,,,A1 CL 8216/32D,,,123 William Street,,,,,,,0
a1-cl-8216-32e,A1 CL8216/32E,Default Title,Default Title,,,,,A1 CL 8216/32E,,,123 William Street,,,,,,,0
a1-cl-8216-32g,A1 CL8216/32G,Default Title,Default Title,,,,,A1 CL 8216/32G,,,123 William Street,,,,,,,0
a1-cl-8216-32i,A1 CL8216/32I,Default Title,Default Title,,,,,A1 CL 8216/32I,,,123 William Street,,,,,,,0
a1-cl-8216-32n,A1 CL8216/32N,Default Title,Default Title,,,,,A1 CL 8216/32N,,,123 William Street,,,,,,,1
a1-cl-8216-32ng,A1 CL8216/32N GLASS ONLY,Default Title,Default Title,,,,,A1 CL 8216/32NG,,,123 William Street,,,,,,,0
a1-cl-8216-32pe,A1 CL8216/32PET,Default Title,Default Title,,,,,A1 CL 8216/32PE,,,123 William Street,,,,,,,0
a1-cl-8216-32s,A1 CL8216/32S,Default Title,Default Title,,,,,A1 CL 8216/32S,,,123 William Street,,,,,,,0
a1-cl-8216-32t,A1 CL8216/32T,Default Title,Default Title,,,,,A1 CL 8216/32T,,,123 William Street,,,,,,,4
a1-cl-8216-32v,A1 CL8216/32V,Default Title,Default Title,,,,,A1 CL 8216/32V,,,123 William Street,,,,,,,0
a1-cl-8216-32vg,A1 CL8216/32V GLASS ONLY,Default Title,Default Title,,,,,A1 CL 8216/32VG,,,123 William Street,,,,,,,0
a1-cl-8216-32w,A1 CL8216/32W,Default Title,Default Title,,,,,A1 CL 8216/32W,,,123 William Street,,,,,,,0
a1-cl-8216-32wg,A1 CL8216/32W GLASS ONLY,Default Title,Default Title,,,,,A1 CL 8216/32WG,,,123 William Street,,,,,,,0
a1-cl-8216-32x,A1 CL8216/32X,Default Title,Default Title,,,,,A1 CL 8216/32X,,,123 William Street,,,,,,,0
a1-cl-8216-32xg,A1 CL8216/32X GLASS ONLY,Default Title,Default Title,,,,,A1 CL 8216/32XG,,,123 William Street,,,,,,,0
a1-cl-8216-40d,A1 CL8216/40D,Default Title,Default Title,,,,,A1 CL 8216/40D,,,123 William Street,,,,,,,0
a1-cl-8216-40e,A1 CL8216/40E,Default Title,Default Title,,,,,A1 CL 8216/40E,,,123 William Street,,,,,,,0
a1-cl-8216-40g,A1 CL8216/40G,Default Title,Default Title,,,,,A1 CL 8216/40G,,,123 William Street,,,,,,,0
a1-cl-8216-40i,A1 CL8216/40I,Default Title,Default Title,,,,,A1 CL 8216/40I,,,123 William Street,,,,,,,0
a1-cl-8216-40n,A1 CL8216/40N,Default Title,Default Title,,,,,A1 CL 8216/40N,,,123 William Street,,,,,,,0
a1-cl-8216-40pe,A1 CL8216/40PET,Default Title,Default Title,,,,,A1 CL 8216/40PE,,,123 William Street,,,,,,,0
a1-cl-8216-40s,A1 CL8216/40S,Default Title,Default Title,,,,,A1 CL 8216/40S,,,123 William Street,,,,,,,0
a1-cl-8216-40t,A1 CL8216/40T,Default Title,Default Title,,,,,A1 CL 8216/40T,,,123 William Street,,,,,,,0
a1-cl-8216-40v,A1 CL8216/40V,Default Title,Default Title,,,,,A1 CL 8216/40V,,,123 William Street,,,,,,,6
a1-cl-8216-40w,A1 CL8216/40W,Default Title,Default Title,,,,,A1 CL 8216/40W,,,123 William Street,,,,,,,0
a1-cl-8216-40x,A1 CL8216/40X,Default Title,Default Title,,,,,A1 CL 8216/40X,,,123 William Street,,,,,,,1
a1-cl-dy-2090-1,A1 CL DY-2090/1,Default Title,Default Title,,,,,A1 CL DY-2090/1,,,123 William Street,,,,,,,0
a1-cl-dy-2090-2,A1 CL DY-2090/2,Default Title,Default Title,,,,,A1 CL DY-2090/2,,,123 William Street,,,,,,,0
a1-cl-dy-2090-3,A1 CL DY-2090/3,Default Title,Default Title,,,,,A1 CL DY-2090/3,,,123 William Street,,,,,,,0
a1-cl-dy-223-22,A1 CL DY-223/22W,Default Title,Default Title,,,,,A1 CL DY-223/22,,,123 William Street,,,,,,,0
a1-cl-dy-223-32,A1 CL DY-223/32W,Default Title,Default Title,,,,,A1 CL DY-223/32,,,123 William Street,,,,,,,0
a1-cl-dy-223-40,A1 CL DY-223/40W,Default Title,Default Title,,,,,A1 CL DY-223/40,,,123 William Street,,,,,,,0
a1-cl-dy-224-22,A1 CL DY-224/22W,Default Title,Default Title,,,,,A1 CL DY-224/22,,,123 William Street,,,,,,,0
a1-cl-dy-224-32,A1 CL DY-224/32W,Default Title,Default Title,,,,,A1 CL DY-224/32,,,123 William Street,,,,,,,0
a1-cl-dy-224-40,A1 CL DY-224/40W,Default Title,Default Title,,,,,A1 CL DY-224/40,,,123 William Street,,,,,,,0
a1-cl-dy-251-40,A1 CL DY-251/40W-2,Default Title,Default Title,,,,,A1 CL DY-251/40,,,123 William Street,,,,,,,0
a1-cl-dy-251-32,A1 CL DY-251-32W-2,Default Title,Default Title,,,,,A1 CL DY-251-32,,,123 William Street,,,,,,,0
a1-cl-dy-610-2,A1 CL DY-610/2 0300 H100,Default Title,Default Title,,,,,A1 CL DY-610/2,,,123 William Street,,,,,,,1
a1-cl-dy-611-3,A1 CL DY-611/3 0380 H115,Default Title,Default Title,,,,,A1 CL DY-611/3,,,123 William Street,,,,,,,0
a1-cl-dy-612-3,A1 CL DY-612/3 0380 H115,Default Title,Default Title,,,,,A1 CL DY-612/3,,,123 William Street,,,,,,,0
a1-cl-dy-613-2,A1 CL DY-613/2 0300 H100,Default Title,Default Title,,,,,A1 CL DY-613/2,,,123 William Street,,,,,,,0
a1-cl-rb1-gl,A1 CL RB1 GLASS ONLY,Default Title,Default Title,,,,,A1 CL RB1 GL,,,123 William Street,,,,,,,200
a1-sp-dy-510-4,A1 SP DY-510/4,Default Title,Default Title,,,,,A1 SP DY-510/4,,,123 William Street,,,,,,,0
a1-wl-8216-d,A1 WL 8216/WL/D,Default Title,Default Title,,,,,A1 WL 8216/D,,,123 William Street,,,,,,,0
a1-wl-8216-d-gl,A1 WL 8216/WL/D GLASS,Default Title,Default Title,,,,,A1 WL 8216/D GL,,,123 William Street,,,,,,,1
a1-wl-8216-e,A1 WL 8216/WL/E,Default Title,Default Title,,,,,A1 WL 8216/E,,,123 William Street,,,,,,,0
a1-wl-8216-e-gl,A1 WL 8216/WL/E GLASS,Default Title,Default Title,,,,,A1 WL 8216/E GL,,,123 William Street,,,,,,,0
a1-wl-8216-g,A1 WL 8216/WL/G,Default Title,Default Title,,,,,A1 WL 8216/G,,,123 William Street,,,,,,,0
a1-wl-8216-i,A1 WL 8216/WL/I,Default Title,Default Title,,,,,A1 WL 8216/I,,,123 William Street,,,,,,,0
a1-wl-8216-n,A1 WL 8216/WL/N,Default Title,Default Title,,,,,A1 WL 8216/N,,,123 William Street,,,,,,,0
a1-wl-8216-pet,A1 WL 8216/WL/PET,Default Title,Default Title,,,,,A1 WL 8216/PET,,,123 William Street,,,,,,,0
a1-wl-8216-s,A1 WL 8216/WL/S,Default Title,Default Title,,,,,A1 WL 8216/S,,,123 William Street,,,,,,,0
a1-wl-8216-s-gl,A1 WL 8216/WL/S GLASS,Default Title,Default Title,,,,,A1 WL 8216/S GL,,,123 William Street,,,,,,,0
a1-wl-8216-t,A1 WL 8216/WL/T,Default Title,Default Title,,,,,A1 WL 8216/T,,,123 William Street,,,,,,,0
a1-wl-8216-t-gl,A1 WL 8216/WL/T GLASS,Default Title,Default Title,,,,,A1 WL 8216/T GL,,,123 William Street,,,,,,,0
a1-wl-8216-v,A1 WL 8216/WL/V,Default Title,Default Title,,,,,A1 WL 8216/V,,,123 William Street,,,,,,,1
a1-wl-8216-v-gl,A1 WL 8216/WL/V GLASS,Default Title,Default Title,,,,,A1 WL 8216/V GL,,,123 William Street,,,,,,,0
a1-wl-8216-w,A1 WL 8216/WL/W,Default Title,Default Title,,,,,A1 WL 8216/W,,,123 William Street,,,,,,,0
a1-wl-8216-w-gl,A1 WL 8216/WL/W GLASS,Default Title,Default Title,,,,,A1 WL 8216/W GL,,,123 William Street,,,,,,,0
a1-wl-8216-x,A1 WL 8216/WL/X,Default Title,Default Title,,,,,A1 WL 8216/X,,,123 William Street,,,,,,,0
a1-wl-8216-x-gl,A1 WL 8216/WL/X GLASS,Default Title,Default Title,,,,,A1 WL 8216/X GL,,,123 William Street,,,,,,,0
a1-wl-dy-001-y,A1 WL DY-001-Y (1XE27),Default Title,Default Title,,,,,A1 WL DY-001-Y,,,123 William Street,,,,,,,0
a1-wl-dy-2090-1,A1 WL DY-2090/1WL,Default Title,Default Title,,,,,A1 WL DY-2090/1,,,123 William Street,,,,,,,0
a1-wl-dy-2090-2,A1 WL DY-2090/2WL,Default Title,Default Title,,,,,A1 WL DY-2090/2,,,123 William Street,,,,,,,0
a1-wl-dy-251,A1 WL DY-251 MIRROR TRIM,Default Title,Default Title,,,,,A1 WL DY-251,,,123 William Street,,,,,,,0
a1-wl-dy-463,A1 WL DY-463 (1XE27),Default Title,Default Title,,,,,A1 WL DY-463,,,123 William Street,,,,,,,0
a1-wl-dy-464,A1 WL DY-464 (1XE27),Default Title,Default Title,,,,,A1 WL DY-464,,,123 William Street,,,,,,,0
a10-dl3013-36,A10 DL 3013/1xPLL 36W c/w electronic gear,Default Title,Default Title,,,,,A10 DL3013/36,,,123 William Street,,,,,,,0
a10-g3011-55w-gl,A10 G3011/55W GLASS ONLY,Default Title,Default Title,,,,,A10 G3011/55W GL,,,123 William Street,,,,,,,0
a10-g3011-e27-gl,A10 G3011/E27 GLASS ONLY,Default Title,Default Title,,,,,A10 G3011/E27 GL,,,123 William Street,,,,,,,0
a10-g3018-gl,A10 G3018 GLASS ONLY,Default Title,Default Title,,,,,A10 G3018 GL,,,123 William Street,,,,,,,0
a10-glass,A10 GLASS ONLY,Default Title,Default Title,,,,,A10 GLASS,,,123 William Street,,,,,,,8
a10-wl1002-13w-ab,A10 WL1002/13W AB C/W 13W W/W,Default Title,Default Title,,,,,A10 WL1002/13W AB,,,123 William Street,,,,,,,0
a10-wl1002-13w-sn,A10 WL 1002/13W SATIN NICKEL C/W WW TUBE,Default Title,Default Title,,,,,A10 WL1002/13W SN,,,123 William Street,,,,,,,0
a10-wl1002-8w-sn,A10 WL 1002/8W SATIN NICKEL,Default Title,Default Title,,,,,A10 WL1002/8W SN,,,123 William Street,,,,,,,0
a10-wl2005-13pe,A10 WL 2005/13W PEARL C/W T4 13W D/L,Default Title,Default Title,,,,,A10 WL2005/13PE,,,123 William Street,,,,,,,0
a10-wl2035a-6w-san,A10 WL 2035A/6W SATIN C/W T5 6W W/W,Default Title,Default Title,,,,,A10 WL2035A/6W SAN,,,123 William Street,,,,,,,0
a10-wl2035a-8w-sn,A10 WL 2035A/8W SN,Default Title,Default Title,,,,,A10 WL2035A/8W SN,,,123 William Street,,,,,,,0
a10-wl2046-13w,A10 WL 2046/13W C/W WW TUBE,Default Title,Default Title,,,,,A10 WL2046/13W,,,123 William Street,,,,,,,0
a10-wl2047-14w-d-l,A10 WL 2047/T5 14W C/W D/L,Default Title,Default Title,,,,,A10 WL2047/14W D/L,,,123 William Street,,,,,,,0
a10-wl2047-21w-d-l,A10 WL 2047/T5 21W C/W D/L,Default Title,Default Title,,,,,A10 WL2047/21W D/L,,,123 William Street,,,,,,,0
a10-wl2047-28w-d-l,A10 WL 2047/T5 28W C/W D/L,Default Title,Default Title,,,,,A10 WL2047/28W D/L,,,123 William Street,,,,,,,1
a10-wl3002-13an,A10 WL 3002/13W ANTIQUE BRASS C/W T5 13W W/W,Default Title,Default Title,,,,,A10 WL3002/13AN,,,123 William Street,,,,,,,0
a10-wl3002-13sa,A10 WL 3002/13W SATIN C/W T5 13W W/W,Default Title,Default Title,,,,,A10 WL3002/13SA,,,123 William Street,,,,,,,0
a10-wl3005-36w-ch-op,A10 WL 3005/36 CH/OP,Default Title,Default Title,,,,,A10 WL3005/36W CH/ OP,,,123 William Street,,,,,,,0
a10-wl3005-36w-sn-sb,A10 WL 3005/36W SN/SB,Default Title,Default Title,,,,,A10 WL3005/36W SN/ SB,,,123 William Street,,,,,,,0
a10-wl3005-55-ca-sb,A10 WL 3005/55W Café/Sandblasted c/w Coolwhite,Default Title,Default Title,,,,,A10 WL3005/55 CA/SB,,,123 William Street,,,,,,,0
a10-wl3005-55w-ch-op,A10 WL 3005/55W CH/OP,Default Title,Default Title,,,,,A10 WL3005/55W CH/ OP,,,123 William Street,,,,,,,0
a10-wl3005-55w-sn-sb,A10 WL 3005/55W SN/SB,Default Title,Default Title,,,,,A10 WL3005/55W SN/ SB,,,123 William Street,,,,,,,0
a10-wl3011-cafe,A10 WL MB3011/280x15x80 CAFÉ (2xE27),Default Title,Default Title,,,,,A10 WL3011 CAFÉ,,,123 William Street,,,,,,,0
a10-wl3011-55w-cw,A10 WL3011/55W C/W COOLWHITE LAMP,Default Title,Default Title,,,,,A10 WL3011/55W CW,,,123 William Street,,,,,,,0
a10-wl3013-2x55-d-l,A10 WL3013/2X55W D/L,Default Title,Default Title,,,,,A10 WL3013/2X55 D/L,,,123 William Street,,,,,,,0
a10-wl3016-13w-ww,A10 WL MB3016 c/w T5 13W Warmwhite,Default Title,Default Title,,,,,A10 WL3016/13W WW,,,123 William Street,,,,,,,28
a10-wl3018-13w-ww,A10 WL MB3018 CHROME c/w T5 13W Warmwhite,Default Title,Default Title,,,,,A10 WL3018/13W WW,,,123 William Street,,,,,,,1
a10-wl3019-14w-ww,A10 WL 3019/14W WW,Default Title,Default Title,,,,,A10 WL3019/14W WW,,,123 William Street,,,,,,,1
a10-wl3022-13w-ww,A10 WL MB3022 Grey c/w T5 13W Warmwhite,Default Title,Default Title,,,,,A10 WL3022/13W WW,,,123 William Street,,,,,,,7
a10-wl3031-2-ca,A10 WL MB3031/2 Café (2xE14),Default Title,Default Title,,,,,A10 WL3031/2 CA,,,123 William Street,,,,,,,0
a10-wl3032-5w-ab,A10 WL MB3032/5W Antique Brass c/w 1x5W Warmwhite LED,Default Title,Default Title,,,,,A10 WL3032/5W AB,,,123 William Street,,,,,,,0
a10-wl3032-5w-sa,A10 WL MB3032/5W Satin c/w 1x5W Warmwhite LED (3000K),Default Title,Default Title,,,,,A10 WL3032/5W SA,,,123 William Street,,,,,,,1
