Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
acc-c-l-cap-ab,ANTIQUE BRASS CEILING CAP - NW,Default Title,Default Title,,,,,+ACC C/L CAP AB,,,123 William Street,,,,,,,8
acc-cap1p5-ccmc,CCM 1.5MM2 PVC CABLE (BLUE),Default Title,Default Title,,,,,+ACC CAP1P5.CCMC,,,123 William Street,,,,,,,0
acc-cap1p5-ccme,CCM 1.5MM2 PVC CABLE (GREEN/YELLOW),Default Title,Default Title,,,,,+ACC CAP1P5.CCME,,,123 William Street,,,,,,,0
acc-cap1p5-ccmk,CCM 1.5MM2 PVC CABLE (BROWN),Default Title,Default Title,,,,,+ACC CAP1P5.CCMK,,,123 William Street,,,,,,,0
acc-cap2p5-ccmc,CCM 2.5MM2 PVC CABLE (BLUE),Default Title,Default Title,,,,,+ACC CAP2P5.CCMC,,,123 William Street,,,,,,,0
acc-cap2p5-ccme,CCM 2.5MM2 PVC CABLE (GREEN/YELLOW),Default Title,Default Title,,,,,+ACC CAP2P5.CCME,,,123 William Street,,,,,,,0
acc-cap2p5-ccmk,CCM 2.5MM2 PVC CABLE (BROWN),Default Title,Default Title,,,,,+ACC CAP2P5.CCMK,,,123 William Street,,,,,,,0
acc-ceiling-rose,CEILING ROSE WHITE,Default Title,Default Title,,,,,+ACC CEILING ROSE,,,123 William Street,,,,,,,0
acc-chain-a-b,ANTIQUE BRASS CHAIN (METRE) - NW,Default Title,Default Title,,,,,+ACC CHAIN A/B,,,123 William Street,,,,,,,0
acc-chain-ab-3x48,ANTIQUE BRASS CHAIN 3x48mm (Metre) - NW,Default Title,Default Title,,,,,+ACC CHAIN AB 3x48,,,123 William Street,,,,,,,0
acc-chain-ab-4x45,ANTIQUE BRASS CHAIN 4x45mm (Metre),Default Title,Default Title,,,,,+ACC CHAIN AB 4x45,,,123 William Street,,,,,,,18
acc-chain-ab-4x50,ANTIQUE BRASS CHAIN 4x50mm (Metre) - NW,Default Title,Default Title,,,,,+ACC CHAIN AB 4x50,,,123 William Street,,,,,,,0
acc-chain-ab-5x45,ANTIQUE BRASS CHAIN 5x45mm (Metre),Default Title,Default Title,,,,,+ACC CHAIN AB 5x45,,,123 William Street,,,,,,,118
acc-chain-ab-5x50,ANTIQUE BRASS CHAIN 4x50mm (Metre),Default Title,Default Title,,,,,+ACC CHAIN AB 5x50,,,123 William Street,,,,,,,0
acc-chain-bk,BLACK CHAIN (4040/5) METER-A32,Default Title,Default Title,,,,,+ACC CHAIN BK,,,123 William Street,,,,,,,0
acc-chain-bk-4x45,BLACK CHAIN 4x45mm (Metre),Default Title,Default Title,,,,,+ACC CHAIN BK 4x45,,,123 William Street,,,,,,,27
acc-chain-bk-4x50,BLACK CHAIN 4x50mm (Metre),Default Title,Default Title,,,,,+ACC CHAIN BK 4x50,,,123 William Street,,,,,,,8
acc-chain-bk-5x50,BLACK CHAIN 5x50mm (Metre),Default Title,Default Title,,,,,+ACC CHAIN BK 5x50,,,123 William Street,,,,,,,0
acc-chain-ch-2x40,CHROME CHAIN 2x40mm (Metre),Default Title,Default Title,,,,,+ACC CHAIN CH 2x40,,,123 William Street,,,,,,,15
acc-chain-ch-3x40,CHROME CHAIN 3x40mm (Metre),Default Title,Default Title,,,,,+ACC CHAIN CH 3x40,,,123 William Street,,,,,,,4
acc-chain-ch-3x48,CHROME CHAIN 3x48mm (Metre) - NW,Default Title,Default Title,,,,,+ACC CHAIN CH 3x48,,,123 William Street,,,,,,,0
acc-chain-ch-4x40,CHROME CHAIN 4x40mm (Metre),Default Title,Default Title,,,,,+ACC CHAIN CH 4x40,,,123 William Street,,,,,,,25
acc-chain-ch-4x50,CHROME CHAIN 4x50mm (Metre) - NW,Default Title,Default Title,,,,,+ACC CHAIN CH 4x50,,,123 William Street,,,,,,,0
acc-chain-ch-5x45,CHROME CHAIN 5x45mm (Metre) - A7,Default Title,Default Title,,,,,+ACC CHAIN CH 5x45,,,123 William Street,,,,,,,0
acc-chain-ch-5x52,CHROME CHAIN 5x52MM (Metre) - A7,Default Title,Default Title,,,,,+ACC CHAIN CH 5x52,,,123 William Street,,,,,,,0
acc-chain-ch-6x45,CHROME CHAIN 6x45mm (Metre),Default Title,Default Title,,,,,+ACC CHAIN CH 6x45,,,123 William Street,,,,,,,28
acc-chain-ch-6x48,CHROME CHAIN 6x48mm (Metre) - A7,Default Title,Default Title,,,,,+ACC CHAIN CH 6x48,,,123 William Street,,,,,,,0
acc-chain-ch-7x50,CHROME CHAIN 7x50mm (Metre),Default Title,Default Title,,,,,+ACC CHAIN CH 7x50,,,123 William Street,,,,,,,25
acc-chain-chr,CHROME CHAIN (METRE) - A7,Default Title,Default Title,,,,,+ACC CHAIN CHR,,,123 William Street,,,,,,,0
acc-chain-et-a6,ET CHAIN - 6 (PER METRE),Default Title,Default Title,,,,,+ACC CHAIN ET - A6,,,123 William Street,,,,,,,0
acc-chain-gd-3x40,GOLD PLEATED CHAIN 3x40mm (Metre),Default Title,Default Title,,,,,+ACC CHAIN GD 3x40,,,123 William Street,,,,,,,4
acc-chain-gd-4x45,GOLD PLATED CHAIN 4X45MM (METRE),Default Title,Default Title,,,,,+ACC CHAIN GD 4x45,,,123 William Street,,,,,,,99
acc-chain-gd-4x50,GOLD PLATED CHAIN 4x50mm (Metre) - NW,Default Title,Default Title,,,,,+ACC CHAIN GD 4x50,,,123 William Street,,,,,,,0
acc-chain-gd-5x50,GOLD PLATED CHAIN 5x50mm (Metre),Default Title,Default Title,,,,,+ACC CHAIN GD 5x50,,,123 William Street,,,,,,,50
acc-chain-gd-6x40,GOLD PLATED CHAIN 6x40mm (Metre),Default Title,Default Title,,,,,+ACC CHAIN GD 6x40,,,123 William Street,,,,,,,1
acc-chain-gold,GOLD PLATED CHAIN (FEET) -ALC,Default Title,Default Title,,,,,+ACC CHAIN GOLD,,,123 William Street,,,,,,,0
